"","Pringlea antiscorbutica","Acaena magellanica","Agrostis magellanica","Azorella selago","Lycopodium magellanicum","Uncinia compacta","Galium antarcticum","Phlegmariurus saururus","Ranunculus biternatus","Austroblechnum penna-marina","Juncus scheuchzerioides","Crassula moschata","Leptinella plumosa","Poa cookii","Montia fontana","Callitriche antarctica","Notogrammitis crassior","Deschampsia antarctica","Colobanthus kerguelensis"
"mean_temp",0.0679694486802974,0.108478919919843,0.00599317376768785,0.172427753611575,0.0162408566078169,0.00866690239666209,0.106293603384557,0.0252206215039082,0.00765109640613342,0.103076589249539,0.0928545148618792,0.178657235945141,0.202326632738598,0.0753682284580879,0.00995565621238327,0.0168268702674325,0.106895628035107,0.0248562301860578,0.0781624722641366
"accum_prec",0.0100396427619117,0.0380836056253351,0.0056331788105181,0.119872624434383,0.0109533634569476,0.00731339099435906,0.0164094715050755,0.0553638057025079,0.012585001492245,0.137408457840938,0.00890072719561646,0.0203977177786594,0.0475540025287927,0.0160808057068153,0.00935832116189217,0.0185386461638111,0.0982811973433653,0.0903207078627104,0.0324316560492382
"pente",0.0165659792144548,0.0203580422544991,0.0108949515241854,0.0141614270579375,0.0037343428920796,0.0132346818945523,0.0187481425793143,0.0025047063646014,0.0455074198682749,0.0242310928832952,0.00701560928331674,0.00783434054999456,0.00416337718589545,0.0182799860396179,0.00707437970680121,0.0212243610380992,0.0121049360884425,0.0362791449170769,0.0110694485849397
"exposition",0.00652868392872679,0.0111625753945411,0.00810711622371935,0.00769481900718527,0.00150965345638278,0.00569599817990942,0.0199358301526308,0.00221422581890068,0.015884243761432,0.010169339559875,0.00340008512925412,0.0109215617850599,0.00328306074364602,0.00954895245462086,0.00395122877731965,0.00783341908527719,0.0159667319206605,0.0257156731815642,0.0060167338751833
"Random: site",0.0859184144068078,0.230104946869971,0.53802878562339,0.680490547565527,0.956500722115846,0.595770038893101,0.341514068723292,0.824331370903829,0.0140238402024732,0.654626896313606,0.00277728226940422,0.768818556979425,0.731171539780797,0.44309816899439,0.358717288365184,0.612265373631869,0.420825820517708,0.0324869420345038,0.762625004451405
"Random: id",0.812977831007801,0.591811909935811,0.431342794050499,0.00535282832339247,0.0110610614709279,0.369318987641417,0.49709888365513,0.0903652697062526,0.904348398269442,0.0704876241527476,0.885051781260529,0.0133705869617202,0.0115013870222704,0.437623858346468,0.61094312577642,0.323311329813511,0.345925686094716,0.790341301818087,0.109694684775097
"TjurR2",0.35727392259229,0.511776711647563,0.414839245240759,0.548812997487366,0.432586633610182,0.520195093678396,0.3394602038944,0.309091254199538,0.326069723194895,0.532497581435085,0.706856947446458,0.396372819483712,0.496922685871549,0.381924936837297,0.528680715581689,0.217235169943942,0.103044243918826,0.12088442681386,0.353293498573289
