"","Crassula moschata","Leptinella plumosa","Ranunculus biternatus","Montia fontana","Callitriche antarctica","Acaena magellanica","Agrostis magellanica","Juncus scheuchzerioides","Azorella selago","Galium antarcticum","Austroblechnum penna-marina","Deschampsia antarctica","Colobanthus kerguelensis","Poa cookii","Pringlea antiscorbutica","Lycopodium magellanicum","Limosella australis","Uncinia compacta","Phlegmariurus saururus"
"mean_temp",0.0502853495593982,0.11589852911333,0.00231172533157969,0.00468850618311148,0.00670698042161131,0.00350994402426702,0.0311103279831841,0.00205813162928151,0.00725742572009983,0.00843085213139809,0.0245592222741551,0.0405358169983383,0.169029240832816,0.0179235035864803,0.00459682775264758,0.00530930300168089,0.0193219027234305,0.0393198916909196,0.0221970779081752
"accum_prec",0.0184084228461239,0.00600470860397311,0.290455540503765,0.0624968033732814,0.133599790976886,0.050673245602951,0.175793687144616,0.0233377597226744,0.0669131353078296,0.0302394560806624,0.0138835361868915,0.0696646955232085,0.0367738619243855,0.0437778706237222,0.0859120634985846,0.0900533916510824,0.0182071750073576,0.171457988678892,0.0133234192720225
"pente",0.016251475507363,0.00619722025991205,0.0137359147064109,0.0222297306746356,0.0188441497686136,0.00844384284360259,0.00624881021439548,0.0424373424294123,0.00497215520216158,0.0343472761549821,0.0126743000173046,0.0212508672291335,0.02329589240318,0.0781635826077053,0.0458440894375587,0.0171492862460094,0.120709346112348,0.0205019521533147,0.0469877645483281
"exposition",0.00435644567574707,0.0032870634265135,0.00905638428806287,0.00816157752519915,0.0343421397192585,0.00953777415773634,0.00147939460669894,0.00751360569432678,0.00599313135505516,0.0346208533501382,0.0085930809244616,0.00897315637431696,0.0607403647253948,0.0539296394227266,0.0245812234968294,0.0134234582917286,0.0259333467346859,0.0047573264254874,0.0163861806056855
"Random: site",0.0301350520960292,0.0722762857865011,0.355061092928293,0.0913541828800298,0.0706894405606496,0.0545019725056282,0.650266463957077,0.835143888025295,0.804535605957938,0.159420621241943,0.0968833116578129,0.593389017948486,0.51928251903366,0.132154700566294,0.66758825178473,0.2663303228988,0.705509606466391,0.571124504630608,0.354118488520811
"Random: id",0.880563254315339,0.79633619280977,0.329379342241889,0.811069199363743,0.735817498552981,0.873333220865815,0.135101316094028,0.0895092724990099,0.110328546456916,0.732940941040877,0.843406548939374,0.266186445926517,0.190878121080564,0.674050703193072,0.171477544029649,0.607734237910699,0.110318622955787,0.192838336420779,0.546987069144978
"TjurR2",0.343688321016045,0.533781857367104,0.490346729937087,0.393130255829006,0.17588059943408,0.388111260979999,0.604965083778424,0.636371383243997,0.728096324934011,0.23299779586824,0.332646004047886,0.164404060425722,0.139589556285599,0.0792762733280169,0.407550605257974,0.205702674057725,0.170498070114888,0.481249366648384,0.150524209324837
