"","Acaena magellanica","Azorella selago","Callitriche antarctica","Crassula moschata","Juncus scheuchzerioides","Leptinella plumosa","Montia fontana","Poa cookii","Pringlea antiscorbutica","Ranunculus biternatus","Uncinia compacta"
"mean_temp_Manu",0.269612905813979,0.561150332206609,0.0232659684399947,0.0686505376799566,0.58155108791948,0.0189418502009139,0.0125626157996648,0.161894760574574,0.127972940375571,0.0385872754629608,0.110479505946895
"accum_prec_Manu",0.0805751762866956,0.0148984939333961,0.0272853082147844,0.0138838237854396,0.00357348772369698,0.0143169102501124,0.0445943940534417,0.00942605813041207,0.0232181171506408,0.00427015607091876,0.00822713783505284
"NDVI",0.107194341229435,0.133211400293732,0.0161998322989257,0.00914041172810042,0.0375184255771236,0.000416384209288744,0.0325613989058542,0.00809328337675451,0.0115482775286776,0.018821675014844,0.00105892944753673
"waterways_dist",0.00290275101176521,0.0448627876358933,0.0724536009016737,0.00240557758177638,0.03134019718516,0.00064952178350412,0.0088809028066576,0.000705152795614872,0.0179875619450053,0.00212015912157614,0.00451803397737563
"sea_dist",0.00769487442693749,0.00587090175028559,0.00723893116499006,0.888506293756423,0.0713150225385985,0.948956415933187,0.0125676549521185,0.0205929762363768,0.00179764949065129,0.0252589130667532,0.0990038930930636
"insolation",0.141076903295248,0.00317332972314855,0.00536061503663488,0.000864292648365767,0.0274446491389325,0.000668595646622136,0.0158071797980128,0.0152446139282472,0.0967096583843053,0.0563302230355033,0.00203752048426384
"Random: site",0.390943047935939,0.236832754456935,0.848195743942996,0.0165490628199388,0.247257129917008,0.0160503219763712,0.873025853684251,0.78404315495802,0.720765795125148,0.854611598227444,0.774674979215812
"TjurR2",0.403535739416945,0.427475475450359,0.170001299026152,0.417441599226914,0.201611646204753,0.552046874462765,0.37228724961276,0.542679463147875,0.425343630761024,0.305026551523462,0.418125642373958
