"","Acaena magellanica","Azorella selago","Callitriche antarctica","Crassula moschata","Juncus scheuchzerioides","Leptinella plumosa","Montia fontana","Poa cookii","Pringlea antiscorbutica","Ranunculus biternatus","Uncinia compacta"
"mean_temp_Manu",0.346247869952381,0.766799908073276,0.0258864127500681,0.00452784597111745,0.669126696359072,0.00246396933618627,0.0197942569128196,0.479158341836877,0.184287239740932,0.0576886093919025,0.475921144887368
"accum_prec_Manu",0.136252725066476,0.0101054665140881,0.00437300927713957,0.0012679555052623,0.00533112467192195,0.000492345841947512,0.00635182746032419,0.0225561445692238,0.0303594973348338,0.00771365088182043,0.0368800464065783
"NDVI",0.165752571551494,0.140043623246693,0.0388125129120642,0.00657920111695325,0.0545373831038126,0.00089697323925467,0.0526631684624415,0.0226320096677176,0.0210961831275247,0.0372344498661233,0.00482225976455826
"waterways_dist",0.00388710234432739,0.0346135149947557,0.0269647682616701,0.00315710721670498,0.0505226622141792,0.000152229863260366,0.0136738251934597,0.00264235019067787,0.0297237857572298,0.00387329544867753,0.0210424429853268
"sea_dist",0.010090034253196,0.00479504964235494,0.144901959659767,0.645801304573087,0.0995260786246986,0.973363668910491,0.110325749236712,0.0736971689840773,0.00481313167895156,0.0485947346257717,0.446208822164444
"insolation",0.198747172012238,0.00438467135366062,0.00799386377046163,0.00644180931344365,0.0512204774758992,0.000611245351496069,0.0192515978947073,0.0433401925379772,0.137493897188988,0.104510887723569,0.00735967323596133
"Random: space",0.139022524819888,0.0392577661751714,0.75106747336883,0.332224776303432,0.0697355775504162,0.0220195674573651,0.777939574839536,0.355973792213449,0.592226265171541,0.740384372062135,0.00776561055576293
"TjurR2",0.311455927516113,0.315552425071717,0.623327540769272,0.264566284606471,0.125529207017079,0.369263844557449,0.854538572914943,0.17853191132893,0.307112208703255,0.220887175959024,0.0822860525386342
