"","Acaena magellanica","Azorella selago","Callitriche antarctica","Crassula moschata","Juncus scheuchzerioides","Leptinella plumosa","Montia fontana","Poa cookii","Pringlea antiscorbutica","Ranunculus biternatus","Uncinia compacta"
"mean_temp_Manu",0.262659965549679,0.547695896319696,0.0243666547922579,0.121489477317621,0.586038892227662,0.0342120585973175,0.0105154213301587,0.164353665518796,0.134312417731091,0.0389618346923664,0.118589514873484
"accum_prec_Manu",0.0845460823872516,0.0139720748384395,0.028723666666515,0.0232274754240309,0.00334091015293614,0.0181854317745894,0.0425234370998592,0.00942815228104935,0.0254288338452042,0.00423978755665283,0.00785445818089114
"NDVI",0.105807057069137,0.137188465038155,0.0164083078861045,0.014724927623389,0.0345524842597484,0.000534343622851374,0.0329179958244666,0.00762753436373629,0.0112753007628335,0.0187534733749598,0.00127577850413835
"waterways_dist",0.00329849915733906,0.0490160701136282,0.081594324455063,0.00409488629493558,0.0322016319472498,0.000810318887915268,0.00991851837780404,0.000966483372994135,0.0195076999856663,0.00189169998632051,0.00513234117663259
"sea_dist",0.00644672301584719,0.00641348649620751,0.00680557389959549,0.809767075389311,0.0734678389649045,0.92991846680827,0.00898941172617719,0.0222889556251365,0.00199847703857231,0.0230977413510704,0.102259005896105
"insolation",0.141094356980115,0.00383272326237104,0.00543198742349883,0.0013926042000662,0.0299327827523687,0.000787739735184044,0.0166325252642089,0.0151162708653082,0.101620173556302,0.0536954595253481,0.00192476976250355
"Random: site",0.396147315840631,0.241881283931503,0.836669484876965,0.0253035537506459,0.24046545969513,0.0155516405738724,0.878502690377325,0.780218937972979,0.70585709708033,0.859360003513282,0.762964131606245
"TjurR2",0.399519317968527,0.426188255197223,0.191360378108663,0.23732703319375,0.208347783290496,0.385900297484616,0.43341314894625,0.551462670343432,0.409283314591271,0.345354447138127,0.419771859912844
