"","Acaena magellanica","Azorella selago","Callitriche antarctica","Crassula moschata","Juncus scheuchzerioides","Leptinella plumosa","Montia fontana","Poa cookii","Pringlea antiscorbutica","Ranunculus biternatus","Uncinia compacta"
"mean_temp",0.00337951695946911,0.0108007076581513,0.00660132214135469,0.0671493860844407,0.00233699912542763,0.122739535024046,0.00543688015742126,0.0247020065730037,0.00479161965270751,0.00234142030825508,0.0405991211011428
"accum_prec",0.0609292844995731,0.0851192611669399,0.117284517798584,0.0241446612060962,0.0275152477386596,0.00548072004632818,0.0493826931995005,0.0639631909605491,0.0905607406228204,0.302899400954489,0.157158496077613
"pente",0.00703385272306478,0.00968177310827457,0.0215748892158407,0.0179021023393354,0.0540667275902627,0.00652275764538851,0.0194416390339549,0.111467877869777,0.0523389244024379,0.0168873447161013,0.0180836043380428
"exposition",0.0100733488673627,0.0107682336236876,0.0598069372448798,0.00749312549354704,0.0115602863703046,0.0039776194361142,0.0109286902566815,0.0756683061523988,0.0247714436115879,0.0119001558075238,0.00594320893888782
"Random: site",0.0930616751439822,0.764970691003656,0.2704301889986,0.269830405924324,0.497702777928765,0.333965931068234,0.369243218590683,0.310606560355167,0.514759573541513,0.295605105525645,0.619209622175783
"Random: id",0.825522321806548,0.11865933343929,0.524302144600741,0.613480318952257,0.40681796124658,0.527313436779889,0.545566878761758,0.413592058089104,0.312777698168933,0.370366572687985,0.159005947368531
"TjurR2",0.309830291119696,0.521770712753213,0.190729198773813,0.369641320509405,0.64855369305055,0.654724116765013,0.700168605597178,0.0879613120824809,0.373032275512671,0.450645423691043,0.588002734354285
