"","Acaena magellanica","Azorella selago","Callitriche antarctica","Crassula moschata","Juncus scheuchzerioides","Leptinella plumosa","Montia fontana","Poa cookii","Pringlea antiscorbutica","Ranunculus biternatus","Uncinia compacta"
"mean_temp",0.00553518375874195,0.0205736166314626,0.00938326974632162,0.0739513300576474,0.00284938364418604,0.1200668310736,0.00539887071250418,0.031982207868565,0.00409375603926083,0.00239394640086691,0.0521922449522016
"accum_prec",0.112142228599673,0.145929144843835,0.128477392526903,0.0245021162541925,0.0299439139166873,0.00560474533539507,0.0484190874361051,0.0715784803710999,0.0797661086720674,0.276810878364552,0.172994047825709
"pente",0.0126572887215738,0.0182640795409052,0.0233467902897216,0.01947853982356,0.065247818506221,0.00556138997924132,0.0194758569034652,0.104686502663659,0.057227550014057,0.0160149102018427,0.0172859493341695
"exposition",0.0188002192242157,0.0188887169665451,0.0663787908608773,0.00869479487448156,0.0152655228699273,0.0032795829619955,0.0119230320069557,0.076816741423612,0.0253407338912458,0.0111387096927082,0.00580296472836074
"Random: site",0.0932150833093885,0.425003861427297,0.470596694082168,0.0598584967310205,0.613207129731609,0.0204681798784638,0.485520056005396,0.0281184595375906,0.26893964152716,0.641687697601141,0.011226354417411
"Random: id",0.757649996386407,0.371340580589955,0.301817062494009,0.813514722259098,0.27348623133137,0.845019270771304,0.429263096935574,0.686817608135473,0.564632209856209,0.0519538577388894,0.740498438742147
"TjurR2",0.225783601952824,0.315029816025762,0.183526025673983,0.339830048373855,0.447458952550027,0.641221488084602,0.455074831549577,0.0832562275022614,0.401083074052481,0.498362187212616,0.475394184227226
