"","Acaena magellanica","Azorella selago","Callitriche antarctica","Crassula moschata","Juncus scheuchzerioides","Leptinella plumosa","Montia fontana","Poa cookii","Pringlea antiscorbutica","Ranunculus biternatus","Uncinia compacta"
"mean_temp_Manu",0.271023583982182,0.427879032520547,0.0223853381954394,0.268299803514356,0.570564014561941,0.237234759893088,0.00985505190402197,0.174512640888196,0.134054176147616,0.0363154484718602,0.108347977908533
"accum_prec_Manu",0.0839269803025306,0.0116340826682808,0.0305160676801469,0.00951706150571521,0.00336707814772972,0.0174928373616508,0.0414643812808491,0.0102506137272775,0.0232329004604009,0.00459047899046964,0.0082669779201358
"NDVI",0.111555639178989,0.116214265325181,0.017649323004997,0.0080306459775746,0.0375118889502172,0.00133971748993122,0.0317892570214434,0.00740017236805305,0.012591140809614,0.0209527474412112,0.00109224086958565
"waterways_dist",0.00275071911064445,0.0324390882614981,0.0764001707199072,0.00349269220966136,0.0319933294543258,0.00161993128092065,0.00953335661222587,0.000947943512518133,0.0196802021700609,0.00171294348758518,0.00401278963826972
"sea_dist",0.00686589888781487,0.00643717246831126,0.00626364883767537,0.642693419848152,0.069803659903855,0.679143899201647,0.0090568703750427,0.0244402256800734,0.00195375440049437,0.0215809565251911,0.0923340383991529
"insolation",0.145698421774176,0.00331276587115633,0.00585934987769211,0.00116939499769388,0.0266026271799768,0.00201287497422364,0.0151407967715443,0.0159775460890652,0.104290848762077,0.0586975440326089,0.00220817473974156
"Random: site",0.30298989296193,0.0184732464835627,0.786434062540218,7.23258627567762e-05,0.0153345435615118,0.000103639819425596,0.848580795277481,0.183518391627066,0.634967484477373,0.71355815012627,0.0327774495014331
"Random: id",0.0751888638017338,0.383610346401463,0.0544920391439245,0.066724656084091,0.244822858240442,0.0610523399791126,0.0345794907573915,0.582952466107751,0.0692294927723648,0.142591730924804,0.750960351023149
"TjurR2",0.443987243930817,0.461564743590292,0.212893535545773,0.474807947159605,0.324317580037391,0.561680134306124,0.498128484838464,0.559757886376261,0.431108667718058,0.33951895380009,0.413787425543904
