"","Acaena magellanica","Azorella selago","Callitriche antarctica","Crassula moschata","Juncus scheuchzerioides","Leptinella plumosa","Montia fontana","Poa cookii","Pringlea antiscorbutica","Ranunculus biternatus","Uncinia compacta"
"mean_temp",0.114620013625462,0.302110553244087,0.0241853020889167,0.198605475253253,0.109254360975631,0.259031878222004,0.0121504675771705,0.0526402774655429,0.0633820350894103,0.00780618028570026,0.0110076682050832
"accum_prec",0.0772343783894604,0.165684442960671,0.0269785954844237,0.0376322033139647,0.0189894218917949,0.0705545779371102,0.0106641463167323,0.00905774821657015,0.0100676236803509,0.0159651471203923,0.0101887478259492
"pente",0.0278582064050859,0.0260323898960393,0.0330587985961599,0.00631867774444979,0.0281673231475428,0.00441853121585083,0.0160297172132679,0.0212732542267185,0.0186284222649518,0.0429411128862941,0.0165311120415212
"exposition",0.0234927519762838,0.0204518816379274,0.0108937477553872,0.00719702152548409,0.0125704741231433,0.00315630332807126,0.00721037374804883,0.00964039054809352,0.00721942751049592,0.0220210065902659,0.0101969515850897
"Random: site",0.205935378155196,0.24732416670736,0.0727016140034563,0.744690099170596,0.36799690441872,0.656569579203117,0.0654651609390497,0.727548236803372,0.112719862494684,0.169997975909491,0.890180919343705
"Random: id",0.550859271448512,0.238396565553915,0.832181942071656,0.00555652299225306,0.463021515443169,0.00626913009384609,0.888480134205731,0.179840092739703,0.787982628960107,0.741268577207856,0.0618946009986518
"TjurR2",0.37075395973017,0.613857144407213,0.246442963882387,0.593025286070937,0.553244015195261,0.648706416789504,0.601972020304948,0.572179406657916,0.416343592198089,0.336474603520846,0.407309404611577
