"","Acaena magellanica","Azorella selago","Callitriche antarctica","Crassula moschata","Juncus scheuchzerioides","Leptinella plumosa","Montia fontana","Poa cookii","Pringlea antiscorbutica","Ranunculus biternatus","Uncinia compacta"
"mean_temp_Manu",0.287283535073158,0.60904496077251,0.00399756423495826,0.301418977420407,0.615890774272878,0.0944874840335194,0.0174396081575477,0.279677590516799,0.182942665638996,0.0550850069435597,0.188121211557593
"accum_prec_Manu",0.107650734664093,0.0116111383876607,0.00961704604016163,0.0211581833272309,0.00597278757573253,0.0276046542043168,0.056412706452279,0.015590479839146,0.03161066324877,0.00682892868327179,0.014211982326137
"NDVI",0.134918653157272,0.142203016266967,0.00372833597153523,0.00846161106872491,0.0419879277450375,0.000991782708300883,0.0188446379607813,0.0128738962460381,0.0184751822254077,0.0304518734575715,0.00257792685848304
"waterways_dist",0.00333547080750242,0.0507597922505451,0.52872261059863,0.00329540410650839,0.0470425290579993,0.00128652767893954,0.019080442056815,0.00138891568915412,0.0335029590912169,0.00286729045729158,0.00797955770633265
"sea_dist",0.00645853385982824,0.006340175079176,0.00360433612559859,0.648313163876551,0.0852360983164478,0.865088186198239,0.014239236962749,0.0361742110354158,0.0026643864929295,0.0316751081187358,0.173785738279899
"insolation",0.167426312067289,0.00463583130998276,0.00146387882917972,0.00383460047255666,0.0360691286303254,0.00181115977549445,0.014094820812707,0.0275664074487492,0.134190669558291,0.0851256427910386,0.0026895903405962
"Random: site",0.292926760370858,0.175405085933159,0.448866228199937,0.0135180597280207,0.167800754401579,0.00873020540118903,0.859888547597121,0.626728499224698,0.596613473744389,0.787966149548531,0.610633992930959
"TjurR2",0.287763546958674,0.347652770835354,0.73033382898053,0.417070334861202,0.256670133007718,0.457949291562218,0.850506474092505,0.268644686762494,0.24403817212627,0.14192360427973,0.17953637209471
