"","Pringlea antiscorbutica","Acaena magellanica","Agrostis magellanica","Azorella selago","Lycopodium magellanicum","Uncinia compacta","Galium antarcticum","Phlegmariurus saururus","Ranunculus biternatus","Austroblechnum penna-marina","Juncus scheuchzerioides","Crassula moschata","Leptinella plumosa","Poa cookii","Montia fontana","Callitriche antarctica","Notogrammitis crassior","Deschampsia antarctica","Colobanthus kerguelensis"
"mean_temp",0.0677381747633231,0.111164797019324,0.00537821721797405,0.182397674488823,0.0160030034729956,0.00838942388659042,0.0999304555383488,0.0263801796484314,0.00899056823698302,0.0927639658590452,0.0945086500553894,0.180793093130827,0.215669329422877,0.0704793167470755,0.0109681276394244,0.0138674825183802,0.108176573880751,0.0232279795013482,0.085030614398147
"accum_prec",0.00917746607898009,0.0325459741948608,0.00522199276230741,0.10402312365168,0.0115121685242926,0.0064086372719789,0.0175365382416723,0.0569333796800543,0.0104174736875474,0.146130917228853,0.00642165520739804,0.0223950093646706,0.0487441094399151,0.0183873922200801,0.0103881975919857,0.0158775310110008,0.097443572993393,0.0897586749419628,0.0336441900318047
"pente",0.0167243760705058,0.0178209267042075,0.0110026199131665,0.014522504314548,0.0034048828869204,0.0132458806325598,0.0193371131527655,0.00227261658560962,0.0438794345130491,0.0243569855053163,0.00647747882654788,0.00675251015617697,0.00409697462310352,0.0203588942856724,0.00650274314666571,0.0224003113904726,0.0111215984607408,0.0292888402672741,0.00971138748631197
"exposition",0.00786839998154311,0.0107193578506461,0.00725519457786419,0.00661659939175026,0.00155309035679054,0.005036868303263,0.0184039003967937,0.00214066935985695,0.0156709669256933,0.0101743465208691,0.00327102220407605,0.0086770103291742,0.00347827490316455,0.00939298628405409,0.00355259884874682,0.00764515859692303,0.0145819590281987,0.0237817579521953,0.00543941954938771
"Random: site",0.230310149760232,0.00559768891663206,0.748409216574011,0.336299523630175,0.963144960158182,0.781763287258278,0.0254374748579917,0.906592819478902,0.0524504717165126,0.0455590929925874,0.882962726431923,0.184513200076337,0.337200933893532,0.846659306094793,0.454740473498116,0.744987927336186,0.369729619116263,0.0863498438331656,0.033449344233475
"Random: id",0.668181433345415,0.822151255314329,0.222732758954677,0.356140574523024,0.00438189460081846,0.185155902647329,0.819354517812428,0.0056803352471459,0.868591084920215,0.681014691893329,0.00635846727466549,0.596869176942814,0.390810377717408,0.0347221043683242,0.513847859275061,0.195221589147037,0.398946676520653,0.747592903504054,0.832725044300874
"TjurR2",0.362330237590065,0.512029756683268,0.407110068038372,0.538248256124937,0.449335609403745,0.521464275453233,0.341790465683296,0.31388591373093,0.329998835937819,0.542047267695976,0.737319837485146,0.401585435496677,0.495016337792388,0.383877815391167,0.509113790564779,0.22141841162623,0.108192001187129,0.118999539094362,0.365492441164166
