"","Pringlea antiscorbutica","Acaena magellanica","Agrostis magellanica","Azorella selago","Lycopodium magellanicum","Uncinia compacta","Galium antarcticum","Phlegmariurus saururus","Ranunculus biternatus","Austroblechnum penna-marina","Juncus scheuchzerioides","Crassula moschata","Leptinella plumosa","Poa cookii","Montia fontana","Callitriche antarctica","Notogrammitis crassior","Deschampsia antarctica","Colobanthus kerguelensis"
"mean_temp",0.0705157687321256,0.110701879495163,0.00478624770289958,0.195544209465716,0.0160967166106662,0.00880405297910532,0.107236130444893,0.0265384522233269,0.00859304444541134,0.0958396656268904,0.0925189706199816,0.173393041679585,0.212659938394614,0.0725065618204271,0.0104826508065389,0.0157958020585146,0.107768542126791,0.0233970053527985,0.0839326714061481
"accum_prec",0.0101492286909731,0.0310316839927579,0.00507303711450952,0.105433642065823,0.0110393688823514,0.00656629732580036,0.0131615997879255,0.0575417918544094,0.0101693203164167,0.139959308323661,0.00636734825576742,0.020507264690613,0.0458213770406485,0.0184256002597827,0.0100464528725289,0.017308532279322,0.0999208186230512,0.0923403899805358,0.0325742715531094
"pente",0.0163561352376867,0.0189635792137407,0.0112961822931546,0.0150093564894926,0.00353297429966845,0.0122380028040526,0.0178217958669209,0.00259959075342096,0.0455681767498502,0.0240147874335866,0.00579323807265659,0.008062496949132,0.00402750001767065,0.0186770470895819,0.00658938166656623,0.0232182222625213,0.0113435695860855,0.0351175812356902,0.0109902491583865
"exposition",0.00753910150342138,0.0104662973619329,0.00782856888477891,0.00750805360182342,0.00151611904877758,0.00453797757989572,0.0188956460849021,0.00189737594095015,0.0162351485231716,0.00989070546503013,0.00321494487054409,0.00933196583569284,0.00326559068712959,0.00822158525632128,0.00382187424547834,0.00841719090807931,0.0166313102425014,0.0239815095193019,0.00604524349147443
"Random: site",0.160269595075897,0.281095854057911,0.256529938577773,0.324480399859292,0.013679296317694,0.242560184914255,0.367560185363554,0.0932655234762407,0.0447570736231735,0.685852821886445,0.887543152558718,0.577940321536112,0.383827389115351,0.4048924555674,0.0263559475743527,0.0319286836338237,0.0223734370687478,0.0638819989495888,0.741501864901546
"Random: id",0.735170170759897,0.547740705878494,0.714486025426884,0.352024338517853,0.954135524840842,0.725293484396891,0.475324642451805,0.818157265751652,0.874677236341977,0.0444427112643875,0.00456234562233292,0.210764909308865,0.350398204744585,0.477276750006486,0.942703692834535,0.903331568857739,0.741962322352823,0.761281514962085,0.124955699489336
"TjurR2",0.359734800977375,0.511538843989737,0.409246280840243,0.538348423683537,0.450183878831963,0.518884769280183,0.338944113462138,0.310175078095499,0.326698699597258,0.541129651528684,0.744902647914624,0.394428342706275,0.500847615990594,0.383427082147548,0.515578577397218,0.21047821089273,0.106303395019778,0.117401474902888,0.352114153205966
